Topic,Count,Name,Representation,Representative_Docs
-1,32844,-1_like_just_people_don,"['like', 'just', 'people', 'don', 'things', 'need', 'buy', 'use', 'stuff', 'videos']","['The thing that’s a shame in the first modern purse video is that this girl clearly has some personality and uniqueness, looking at the spooky hello kitty bags at the top and how very different they are to all her other bags which are all pink or neutral. I feel like she had some uniqueness that she forced out of herself and she’s probably buying these bags now and the real her probably doesn’t even like them, but they’re just like everyone else’s and don’t stand out from the crowd. Why are people in such a hurry to just fade into the background and be a carbon copy? I had 1 bag that I took to school with me and it lasted 6 years, it was ditched, the underneath was peeling, there was spilled make up stains but I didn’t get a new bag. That was the bag for me. Now I own 3 bags, and have just ordered a 4th and I go out of my way to find unique pieces that tell you something about me. I have one that literally looks like a book of spells and I love it so much because I haven’t actually seen it before or seen anyone else wearing it either online or in my every day life. But yeah, 4 bags and I probably won’t buy another one for years and years. I love my own personal sense of style and expressing that especially because it’s unique to me. Why do you want to be like other people? Why do you want to be like everybody else when being you is so much better', ""A lot of the beauty influencers get the products in PR, they aren't going out spending their own money on every single product, that's why they have such overwhelmingly large collections. Obviously some people do go out and spend thousands on products but at least 3 of the people you showed are huge influencers who get sent most everything. Plus for creators on that level the shelving & storage is a business expense and using it in a video is a deduction, same with the professional organizer costs. The ones you showed that had just the tree hut and shower stuff, they probably do go purchase a lot of it, they don't have the following to get it all for free. My cousin back in the late '90's, early '00's when she got her first job would go to Victoria Secret every single payday and purchase a new set of body lotion, shower gel & body spray. At one point she literally had every scent they sold so moved on to Bath & Body Works, thankfully she out grew it and doesn't even like fragrance anymore 😂 I think that brands should be more mindful with how much PR they send out and influencers should learn to start telling them no, please only send certain products that will work for my skin or makeup for my complexion. Tati Westbrook has been complaining about PR waste for almost a decade. I think a lot of the massive 'Sephora haul' videos are created by people who are trying to get noticed by brands and trying to go viral, because any attention on a video, even negative, is positive attention to them and gives them the views & engagement they crave. It's also that everyday there is the newest hottest 'must-have' product and they desperately want to be one of the 'cool girls'. I think it also is the high of buying something new that everyone else wants. Shopping addiction is a huge problem yet it has almost been normalized by TT and 'normal' people (I mean not someone with 10 million followers, 10 million in the bank or a celebrity) showing every thing they buy, even if it's just 2 items. I don't think that people stop to ask themselves how all this stuff, like those Razors or 200 shower products are being paid for because few people openly & honestly talk about it, it's rare to hear someone say that they are drowning in credit card debt because of their 'collecting' or need to fit in. I also wonder like with those 4k Sephora hauls how much was returned after the video? I've heard that a lot of people will buy tons of products for a haul video then just return it, it's why certain stores have changed their return policies. I've also wondered if in some of these haul videos, where receipts aren't shown, if they are just putting stuff they already own in a bag and pretending they just purchased it all in one shopping trip."", 'I bet you some of these influencers will also be like I’m helping saving the planet by buying all this stuff and if I buy 100 toilet rolls I’m saving money 😳 I guess at least they’re prepared if there was a world crisis and they couldn’t get out . I lived in a village previously , I would have to do a food shop for home delivery as I don’t drive and I did buy enough lol roll , baby wipes , nappies , milk and cupboard stuff as the local shops were so expensive as that was a connivence and I now live in a town and I don’t need to have a full load of stuff and I’m trying to get used to not having a full freezer as I can get a weekly shop and if needed others can get me a few bits if I run out . The world largely into buying stuff and and I was guilty of having a whole load of bedding covers and it was just me at this point and people don’t need 10 sheets per bed and well that’s all gone now and I have 3 fitted sheets for the spring and summer ( only as it’s changed a couple times a week as I am always in bed and so it needs it and I discovered teddy fleece sheets and having poor circulation I get freezing cold and the place I. I’m currently has no heating upstairs and so I was so happy when I saw those . I used to watch programs on hoarders and then get to work in my home when I was definitely not a hoarder but I’d do clear outs often. I’ve been housebound since January and all of the bits I use daily are in my room as I’m living with my dad ( moving out tomorrow … ) but it makes it easily accessible and I just keep one toiletry bag by the bed , medication in a small basket , minimal clothing as I had the ICU diet last September and lost 4 stone and I could go out to get clothes plus I didn’t have money to buy clothes and so a couple of ladies donated most of my clothes except my underwear. Having an 8% chance of survival I have learned a lot and I was always feeling less than my brother as they own their house and they can afford things but things don’t make people more of a success , I’m happy to just be alive and very grateful to my dad who has given me things to be able to move into a ground floor flat as I’m disabled now and I’ve lived with him since my discharge after 56 days in hospital and I don’t have a circle but people don’t need a lot of “friends “ most of the people who were my friends never bothered at all when I got gravely ill and I dint miss them as they weren’t true friends and I have people in my life who are loyal and people who have picked me up things from the town when I needed bits from shops that are sold for silly prices online and it’s a rip off for people who are in this position but I wouldn’t be spending say £50 on stuff and making these drawers . As I put in a comment below I didn’t even want my backpack which had my phone amd charger and a purse with a little bit of cash . All I wanted and needed when I was on the edge of life and death was to breathe . My new place is basic but I can get some wall art and little things as I go and I have time . Imagine if today was your last day and all that money you spent on having a whole stock of all. That skin care you could of spent on a meal out , holiday etc as you can’t take anything with you when you go ( this is for those who do this kinda stocking up and also people who have a basement and do the whole couponing which is more the US than the here in the uk but they are some crazy ass people who will go mad if their total is a few $ out . I’d love to see a video of that . ) I think I’ve written enough now to get my views on this video across and I have followed and will look at your other videos ☺️ especially MLM ones can’t stand it']"
0,12045,0_like_just_fridge_don,"['like', 'just', 'fridge', 'don', 'books', 'buy', 'people', 'use', 'love', 'things']","['There are a lot of people who do that. Hand soap is for when you are out and not using a sink in public cause people are nasty and there is not always a soap dispenser unless you always use a perfectly great bathroom, and all she did was organize her drawer so instead of shufffling stuff around, you did not disclaim that if I want to have this stuff to keep in my purse so that when I go out it is to keep sanitary there is no affliate link for Clorox wipes, I know that some of the restock people I watch are real and i watch them over rich people who do that, I also restock and I am normal I also have 7 kids so having a drink refrigerator would be wonderful and one day I will. No o don’t like ice like that I am good, and as a content creator I can buy all of it and you can’t say that I am wasting my money, I don’t feel poor when watching it, I find it pleasing and it helps me I do that as well, light and airy and simple if they want it and for us who want to have it all should not be talked about or made to feel bad cause we want it.', ""I have about... three collections? Books, rocks, and plushies. I rarely buy new books, and I've blocked myself from getting new ones because I haven't had time to read lately, so im not working through my backlog. Once I get through the majority of them, I can then continue getting more. If I ever dont want them, there's countless used book stores/thrift stores I can drop them off at. My rocks I am much much more picky with. most of them come from tours at caves with my dad, and sometimes I add cool rocks I find outside, or such. I do not buy rocks just whenever. and plushies? Yeah I have a worse habit with those, but I love each and every one of them. I try to keep myself to only getting new ones when I have a particularly nasty event happen (car crash, family passing, other situations like that). I need to cut down on the growing of the collection of my plushies, but I doubt im going to get rid of any of the ones I currently have, unless I really really need to. I love them so much. My point is, yes, collections of things can get overwhelming a little quickly. I love the things I have and would be so sad to see it all go, but do I need to constantly be adding to it? no. by no means. And I try not to let myself be sucked into whatever is popular at the time, because that's... boring. I like what I like, and I try to get unique items each time (no duplicate rocks, as different stuffed animal types as possible, no two version of the same book). Collecting intentionally is what makes it fun, its what makes it interesting, its what gives it a story"", ""I use jam jars for coffee. Because my mum buys jam. And then we keep the jars when they're done instead of recycling them because once a year my mum makes marmalade, and stores it in the jars. She also uses the jars to store other preserves/pickled goods/items when she decides to make them. I took one or two empty jars from the Jar Cupboard to use, because it's fun to shake my coffee and it's a good volume. But thing is, we kept them, we reused them, and that's why I have my jars. I moved out and I took my favourite jar with me. That's all I use, and I wash it every day and reuse it. We also keep golden syrup tins (for lanterns and penpots! My family run a lot of kids' crafts events, etc), ice cream and butter tubs, ramekins, and way more! We recycle what we won't use! But it's great for storage. And that's what I don't get about the weck jars, because WHY ARE PEOPLE GOING OUT AND BUYING THEM, EMPTY? Do people not USE things??? It annoys me ALMOST as much as the people buying loads of single use plastic 'starbucks style' cups just so they can make their coffee LOOK bought. It's way nicer not in plastic anyway, but just use a drinking glass, or a recycled jar. Why are you buying so much disposable junk!??? (I understand it could potentially be different for those with disabilities in some cases but those are definitely not the cases I'm talking about). Being from a family like this, you can also imagine how old our Christmas and Easter decorations are lol (older than me, the oldest child...) - we also don't decorate for autumn, that sort of thing just isn't huge where I am. We are guilty of keeping any free bags we get given though!!!! Especially gift bags, so we can give them to others... (and even wrapping paper lol)""]"
1,1654,1_ice_cubes_trays_ice cubes,"['ice', 'cubes', 'trays', 'ice cubes', 'cube', 'ice cube', 'freezer', 'like', 'ice trays', 'coffee']","['I have autism and with it comes a condition called ""pica"". There are many different ways of showing off this condition, but I, in particular, can\'t stop eating ice. So when I saw that video with the ice trays and ice cubes, it was a DREAM. I wanted it so much. I have a few ice trays in my house but my fridge is not nearly big enough to have a whole freezer just for ice, so I just counted my losses! Anyway, I was heavily inflluenced by the ice cube creator and i imagine other people - with more money than I - too!', 'When I watch the ice cube video I wonder what she does with all those ice cubes.', 'I love how some of the trays for ice already have ice cubes in them...']"
2,409,2_slavery_slave_slaves_consumerism,"['slavery', 'slave', 'slaves', 'consumerism', 'perfection', 'perfection slavery', 'debt', 'people', 'free', 'choice']","['Actually, Slavery is the perfection of Slavery.', 'consumerism is the perfection of slavery', 'Consumerism is the perfection of slavery 😢']"
3,350,3_razor_razors_shower_wall,"['razor', 'razors', 'shower', 'wall', 'razor corner', 'corner', 'blades', 'razor wall', 'rust', 'hairy']","['The razor corner took me out 😮😢😭', 'The razor collection sent me 😳😳😳 the way I wanted to unzip my skin seeing that many razors hanging in a shower like ma’am there’s some logic we’re missing here — when you store your razor in your shower, the major change in temperature swinging from hot & steamy to dry and controlled can cause the moisture strip on your razor to dry out and become less effective. When the moisturizing strip on your razor gets overly dried out, the shave will be significantly less smooth. This isn’t typically a problem as *most* people store only the single razor they’re using in the shower and by the time the moisture strip has dried out, you’re ready to swap out the razor refill. But when you have a whole frickin wall of razors and you can’t possibly be using them all each time you shower, you’re going to have a ton of dried out razors before you ever even use them. 🫠 Just had to share because that was beyond unhinged 🙃', 'Another thing about the razor wall that annoys me is that razor heads are interchangeable! You could quite literally go your whole life using one razor handle and just changing out the heads. Not to mention all those razors are gonna rust in the shower…']"
4,329,4_plastic_beaded bags_beaded_bags,"['plastic', 'beaded bags', 'beaded', 'bags', 'waste', 'plastic waste', 'ugly', 'bags ugly', 'trash', 'garbage']","['Those beaded bags were so ugly', 'Those beaded bags are SO UGLY 😭🤮', 'This beaded bags are so ugly 😅']"
5,290,5_nails_tapping_nail_fingernails,"['nails', 'tapping', 'nail', 'fingernails', 'nail tapping', 'tap', 'fake nails', 'long', 'fake', 'long nails']","['How do they do anything with those ridiculous nails??? Does the nail tapping they do annoy the f***k out of anyone else??? 😒', 'Ugh.. the nail tapping everytime... why why why do they have to tap their nails on everything they show? 🥴😵\u200d💫', ""she lost me with the nails. I can't see someone with that nails and take them serious, sorry.""]"
6,264,6_batteries_battery_organizer_battery organizer,"['batteries', 'battery', 'organizer', 'battery organizer', 'rechargeable', 'drawer', 'rechargeable batteries', 'aa', 'tester', 'actually']","[""That's a very small battery organizer in the video at . I have a battery organizer, and it holds over 200 batteries. They are SO nice to have! I love how I don't have to dig through a basket (I used to keep my batteries in a lidded basket). Mine also came with a battery tester, and the tester fits into the holder (the one in the video also has a tester). It has a strip of lights that illuminates it in case there is an emergency, so you can find the batteries you need. It can fit in a junk drawer, but I keep mine on the folding table in my laundry room. Maybe a small organizer like that would be good in a dorm room in a desk drawer. Or upstairs in a dresser drawer in case you want a few batteries upstairs. I can't see it as the main battery holder. What is bad though is that there isn't a cover on that battery holder. Mine has a cover on both sides (one side is made specifically for AA batteries). I'm in the camp of these types of videos are fun to watch, but I don't care enough to buy these things. Sometimes, you may see a product that could be worth it, I guess. The ice tray thing though? Never has tempted me. I have 2 ice trays from the 80s or 90s (they're old but still do the job) to use in case something happens to the ice maker. I have a large pantry, so they actually live in the pantry instead of taking up room in the freezer."", 'I have that battery organizer and love it 😂', 'Battery organizer: I have that and I use rechargeable batteries. Batteries are expensive if you have to keep buying them.']"
7,241,7_sleep_bed_morning_hair,"['sleep', 'bed', 'morning', 'hair', 'morning shed', 'shed', 'bonnet', 'night', 'sleeping', 'chin']","[""Want to drop a comment as a new user of those sleeping amendments: you don't understand it exactly because you already can sleep well. High stress, breathing issues, anxiety - that all can effectively break sleep so badly that you never, actually, feel refreshed and relaxed. It creates the self-supporting loop: less sleep, more anxiety, more anxiety, less sleep, and to break it something is needed. Sleep is so essential, so people are very prone to even faintest hope of better sleep. And yes, at least in some cases at least part of those weird devices are helpful, as CPAP machine can looks scary, but improve sleep for those who has apnea, even being weird and sleep-ruining for more healthy people,."", 'The morning shed trend sends my autistic ass into overstimulation just by seeing it. If the covertor of my bed is slightly off, i cannot sleep. NOW IMAGINE GOING TO SLEEP WITH ALL THIS. I would have a meltdown every night before sleepin, maybe they do too and thats why they get to sleep with all that crap? Maybe you just send urself into a panic attack to sleep.', ""My hot take on the morning sheds... i have a cpap machine i must sleep with if i want to wake up the next day lol.. i have to have a satin hair cover to keep the cpap straps from destroying my hair. I also have a husband whos computer is in our bedroom who doesn't go to bed at the same time as me, so i wear an sleep eye mask as well as headphones that play rain sounds. I usually use a night time face cream and a lip balm as well before putting all of that stuff on.. at first it was a bit annoying to get used to but let me tell you, i sleep like a baby. I wake up for nothing. I have never been so rested before i started going to bed looking like darth vader. So the morning sheds might take a few nights to get used to but then they would be more comfortable to sleep in""]"
8,228,8_store_storage_storage unit_unit,"['store', 'storage', 'storage unit', 'unit', 'grocery', 'home', 'grocery store', 'stores', 'look like', 'like']","['""Shopping her storage unit"" someone with a whole house should absolutely not have a storage unit, what are we doing.', '""Shop your storage unit instead of the stores"" Why are we buying so much stuff that can\'t fit in our house that we also need to buy a storage unit?', ""It's as if they want it to look like a grocery store.""]"
9,202,9_germany_weck_jars_german,"['germany', 'weck', 'jars', 'german', 'weck jars', 'jar', 'mason', 'canning', 'weck jar', 'mason jars']","['Didn’t know Weck jars were even trending. They do NOT cost that much in Germany.', ""Hi there! This video was just randomly suggested to me today and I'm confused... Living in Germany I had no idea that the Weck jars are/were a big thing in the US! Because our Weck-jars here in Germany... well they cost 2-5€ here xD"", 'Weck jars are literally just German mason jars. When Mason jars were trending they were hella expensive here in Germany too 😂']"
10,187,10_china_chinese_america_american,"['china', 'chinese', 'america', 'american', 'gdp', 'people', 'communist', 'chinese propaganda', 'propaganda', 'goods']","['The comparisons between the West and China don\'t make much sense as basically OECD countries GDPs are comically inflated. Both the EU and the US count as consumption: Imputed rent (literally shit that doesn\'t exist, 9%-10% in Western economies almost non-existent in China) STIK, counted as consumption in the West (particularly huge in Europe) and as government expenditures in China. Plus China has a large, unaccounted economy. Once everything is said and done consumption in China, as a slice of GDP, is comparable to Europe. On the other hand the US figures are inflated by ""services"" crap like: Idiotically high healthcare, mortgage and auto insurance expenses. Equally absurd expenses for college Demented costs for child care Once you remove these factors (and a few others) you are left with a population that, bar the wealthiest 5%, live surprisingly frugal lives. True, houses and cars tend to be bigger than elsewhere (and the rate of car ownership is very high) but the former are often of laughable quality, the latter are commonly second or third-hand vehicles from no-frills brands, the average age of American cars is 13 years. The number of new semi-luxury or truly luxury vehicles is surprisingly modest. Amazon, Walmart and TJX are the 3 largest clothes retailers in a country where Nike, New Balance and Lululemon are considered almost high-end. 1/3 of the apparel market is second-hand stuff. The restaurant scene is mostly made of casual outlets, outside of major metros fine dining is pretty much unknown. 1/4 of the grocery market is owned by Walmart. Etc etc etc', ""Are you criticizing China while in China? I hope they don't come after you."", 'But the agreement was letting China do the worker thing. just realize that. But things have changed. The elites are taking over in China in 2025 just like they did in the United States in 1980. China is moving away from being a manufacturing economy. The difference with China is they’re better at world domination than the West was. It is their turn, especially if they make friends with Korea and Vietnam and the Philippines and Japan oh, if China made nice nice with Japan, the west could never be able to rival that allegiance.']"
11,169,11_vegan_friend_vegan products_products,"['vegan', 'friend', 'vegan products', 'products', 'bring', 'bathroom', 'guest', 'vegan friend', 'natural', 'non toxic']","['If your friend is coming to stay with you and only uses “natural, nontoxic, vegan products” then she should bring her own products.', 'The non toxic vegan friend can bring her own products', '“Natural nontoxic vegan products” …bring your own stuff']"
12,137,12_hair_shiny_hair looks_hair shiny,"['hair', 'shiny', 'hair looks', 'hair shiny', 'gorgeous', 'looks', 'hannah', 'video', 'hannah hair', 'beautiful']","['Your hair looks so good!! What do you so for it?', 'Your hair looks so shiny and healthy 🎉', 'Your hair looks so shiny 😊']"
13,126,13_cat_kitty_love cat_meowing,"['cat', 'kitty', 'love cat', 'meowing', 'cats', 'cute', 'cat meowing', 'meow', 'background', 'love']","['I love the cat meowing 🐱🐱💖💖', 'my cat heard your cat and was so very confused about where that cat was 😅😂', 'I keep thinking your cat is my cat 😭']"
14,125,14_expire_dates_expiration_products expire,"['expire', 'dates', 'expiration', 'products expire', 'expired', 'expire used', 'expires', 'expiration dates', 'going expire', 'expire use']","[""They'd expire before you could ever use them, what a waste..."", '90% of those products will expire before being used,, what a waste of', 'these products will expire even before she can use them all. This is such a waste.']"
15,101,15_school_wish_teacher_high school,"['school', 'wish', 'teacher', 'high school', 'high', 'lecture', 'professor', 'wish teacher', 'class', 'university']","['I wish I had a teacher like this back in school.', 'Are you a high school teacher or something?', 'I wish I had a teacher like yourself when I was in high school Beautiful lecture']"
16,90,16_skin_hannah skin_skin looks_skin care,"['skin', 'hannah skin', 'skin looks', 'skin care', 'glowing', 'skincare', 'care', 'hannah', 'routine', 'looks']","['Speaking of skin care, can you drop your skin care routine? Your skin is flawless.', 'Hannah your skin looks amazing ❤', 'speaking of skin care, hannah your skin is glowing girl!!! ❤ drop the skin care routine 😂 also, thank you for the video 😊']"
17,87,17_series_new series_new_love new,"['series', 'new series', 'new', 'love new', 'excited', 'excited new', 'series love', 'love', 'series excited', 'series great']","['LOVE this new series!', 'I love the new series!', 'Love this new series!']"
18,85,18_junk_junk drawer_drawer_drawer junk,"['junk', 'junk drawer', 'drawer', 'drawer junk', 'restocking junk', 'restocking', 'junk draw', 'draw', 'lol', 'drawer just']","['Junk drawer 😂. That’s definitely not a junk drawer. I HAVE a junk drawer 🤣🤣', 'Lol that “junk” drawer is not a junk drawer 😂', ""if you're restocking a junk drawer then its not a junk drawer""]"
19,85,19_10_rating_called 10_average,"['10', 'rating', 'called 10', 'average', 'called', 'girl', '10 average', 'rate', '10 10', '10 good']","['Am I the only one who thought 7/10 was a compliment until this video? 🤣 Maybe it’s my obsession with math, but 5/10 is average and 10/10 is perfect so anything between 6/10 and 9/10 is some degree of “attractive.” I generally rate myself around a 5 or 6 and a 7 if I’m feeling particularly hot on a certain day, so if someone told me I was a 7 I’d be flattered.', ""I know this isn't the point, but a 7 out of 10 is well above average. She would have been upset with a 9 out of 10. Anything less than 10 was going to hit the same. That's why rating someone, or asking someone to rate you, on a scale of 1 to 10 is an absolutely terrible idea. Anything less than 10 is going to be a horrible insult, and make people wonder what, specifically, it is about them that kept them from getting a 10. An appearance rating scale is a bad idea for all involved. It's a whole Rabbit Hole you don't want to go down."", 'Is 7/10 considered a bad rating? 🤔 I would think 5/10 or 6/10 to be the average, so most people and 7/10 would be above average? If someone was described as a 7/10 I would assume the person is good looking. Am I incorrect? 😅']"
20,82,20_ergo_ergo sum_sum_patrick bateman,"['ergo', 'ergo sum', 'sum', 'patrick bateman', 'bateman', 'patrick', 'mea', 'cogito', 'culpa', 'lakenzo']","['Consumo ergo sum.', 'Cogito, ergo sum ""I think, therefore I am""', 'Cogito ergo sum, I think therefore I am']"
21,82,21_hoarding_aesthetic_aesthetic hoarding_looks,"['hoarding', 'aesthetic', 'aesthetic hoarding', 'looks', 'bla', 'pleasing', 'minimalist', 'glad', 'ess', 'looks cheap']","[""Coming from a family of hoarding tendencies... this was scary. Just cos it looks aesthetically pleasing, does not mean it's any less HOARDING :"", 'Overconsumption is just aesthetic hoarding.', 'Aesthetic hoarding is still hoarding']"
22,69,22_cotton candy_candy_cotton_candy routine,"['cotton candy', 'candy', 'cotton', 'candy routine', 'routine', 'sensitive', 'scented', 'candy lady', 'dove', 'scent']","['I love that the Cotton Candy lady starts with the Dove Sensitive Skin :P', ""The cotton candy lady, it's nauseating!"", 'COTTON CANDY CANCER']"
23,69,23_belly_belly button_button_oiling,"['belly', 'belly button', 'button', 'oiling', 'funsies', 'oil', 'button funsies', 'oiling belly', 'castor', 'oil belly']","['“Oiling up your belly button for funsies” 😂😂', '""Oiling up your belly button for funsies"" 🤣🤣🤣👌🏻', 'Oiling up your belly button for funsies 😂']"
24,69,24_fries_french_free_free french,"['fries', 'french', 'free', 'free french', 'free fries', 'fry', 'french fries', 'french fry', 'mcdonald', 'mcdonalds']","[""the girl want to look pretty to get free french fries in McDonald's?!! I mean,girl, go buy it by yourself"", 'Lol fix your diet get in the gym and also get free french fries 😂', '""Go to the gym, clean up your diet"" also though ""get free French fries at McDonald\'s"" 😂😂']"
