Topic,Count,Name,Representation,Representative_Docs
25,69,25_laugh_funny_laughing_loud,"['laugh', 'funny', 'laughing', 'loud', 'laughed', 'laugh loud', 'hard', 'hilarious', 'laughed loud', 'lol']","['The “doomsday prepping” comment made me laugh out loud 😂😅', 'I keep pop on comments because you are literally making me laugh out loud. So glad I found you!!😊', 'Omg I F…ing Love You!!! I was seriously laughing so hard I started crying!!!! Everything you said is so true and so funny….”aren’t you at home?”…..😂LOL 😂😂😂']"
26,66,26_jesus_god_lord_christ,"['jesus', 'god', 'lord', 'christ', 'bible', 'jesus loves', 'heart', 'world', 'jesus christ', 'loves']","['At the end of the video, you were talking about your glow up goals and I LOVE those goals, they are actually meaningful in my opinion and I completely need to work on that stuff as well! But, you were talking about how you have so much stress and anxiety and i don’t know if you have thought of doing what I’m about to say or are doing it, but reading the Bible helps with stress and it helps you be a good Christian and even a good friend!! But I used to be SO stressed out and have so much anxiety and I still do, but it’s a WHOLE lot less ever since I started reading the Bible and I’m just happier overall. And I know for sure it’ll do the same for everyone if you are dedicated to having a relationship with God and you read the Bible and pray. I can’t think of any verses that help with stress and anxiety specifically off the top of my head, but if you haven’t taken this into consideration (any of yall) I recommend proverbs for wisdom, knowledge, and understanding. And Luke talks about Jesus birth, Genesis talks about his creating the world especially chapter 1. THERES ARE SO MANY VERSES THAT HELP WITH ANXIETY AND STRESS!!! I really hope anyone uses this advice and I hope it works for you!! Sorry for writing so much, just want to try and help with that and I’m trying to spread the word!!', 'There is a way to be unspotted and to dwell in everlasting LIGHT. His name is Jesus of Nazareth and HE stands at the door and knocks. Count the cost for to follow Him is to know / gnostes sorrow and to die daily to self. When you inquire with sincerity of heart ( whole heartedly ) HE will teveal to anyone that HE is real and alive forevermore. JESUS stands at the door and knocks. All things become new IN Christ. This is LOVE that never fails nor will HE leave you. His peace and Joy await. Now / TODAY is the day of Salvation. Jesus died rose and paid in full the penalty for our sins. Blessings and abundance in Jesus!', 'Ladies, looks will fade. 1 Samuel 16:7 King James Version 7 But the Lord said unto Samuel, Look not on his countenance, or on the height of his stature; because I have refused him: for the Lord seeth not as man seeth; for man looketh on the outward appearance, but the Lord looketh on the heart. What really matters is what is in your heart. We all need new hearts through Jesus Christ. Jeremiah 17:9 9 The heart is deceitful above all things, and desperately wicked: who can know it? We are all sinners in a dyer need of a savior. Jesus died for each individual he created in this world and rose from the grave. We must just simply believe and repent and turn from our sins. In the end, all that really matters is where your soul goes when you die. It will either be in eternity with God or eternity in his wrath. Today is the day of salvation. I beg you to see the bigger picture and realize that what God thinks of you is more important than what man thinks. Jesus values you and loves you.']"
27,65,27_nurse_practitioner_nurse practitioner_routine,"['nurse', 'practitioner', 'nurse practitioner', 'routine', 'morning routine', 'health', 'morning', 'evidence', 'medicine', 'patients']","[""I find this even more concerning that she starts it with my morning routine as a NURSE PRACTITIONER, suggesting she's speaking as someone with authority about health."", '. That woman is a nurse practitioner!! What is she telling her patients to do!!!', 'I can\'t believe she\'s a Nurse Practitioner! God help whoever she is ""caring"" for! I\'m sorry but she doesn\'t seem to have either the mental or emotional intelligence to be a Nurse Practitioner! I guarantee If I met her in a doctor\'s office as a practitioner, I would walk out and not return.']"
28,63,28_beaver_wipe_wipe beaver_beaver wipe,"['beaver', 'wipe', 'wipe beaver', 'beaver wipe', 'hole', 'wipe hole', 'beaver hole', 'wipes', 'jugs', 'pardon']","['“A wipe for my beaver AND a wipe for my b-hole” I’m cooked 😂', '“A wipe for my beaver and a wipe for my b-hole” took me out 🤣', '""A wipe for my beaver, and a wipe for my b hole."" ""PARDON?"" 💀😭']"
29,61,29_students_questions_class_answer,"['students', 'questions', 'class', 'answer', 'million', 'million dollars', 'answering', 'dollars', 'school', 'lecture']","[""Wow ! The students were so dumb. No common sense couldn't even answer basic simple questions. 😢"", 'He\'s wasting his time talking to those students ....they couldn\'t answer a simple question like ""what do you do if you get a million dollars ?"" ...duh ...', ""The lecture is great, but I feel bad for the professor as the students feels kinda slow, I remember when I was a student we always was answering and sharing opinions and arguing etc, and I see that people here on the lecture just dead silent cant even answer basic questions. That's sad. Gen z kinda sad generation for this""]"
30,57,30_15_118_parts_118 parts,"['15', '118', 'parts', '118 parts', '15 minutes', 'minutes', 'sexier', 'feel sexier', '18', 'number']","['When you said 118 parts to that feel sexier series, I actually had to pause and laugh. I had guessed 16 😂', 'my jaw dropped when you revealed that there were 118 parts to the how to feel sexier series😂😂', 'My guess for the number of parts of the how to ""how to feel sexier"" series: 15 Hannah: ""there are 118 parts of this series"" What what? Whhhhy?']"
31,57,31_hoarding_hoarders_organized hoarding_organized,"['hoarding', 'hoarders', 'organized hoarding', 'organized', 'hoarder', 'hoarding hoarding', 'end hoarders', 'called hoarding', 'just hoarding', 'hoard']","['Organized hoarding is still hoarding and these ""creators"" are all hoarders.', 'Hoarding is still hoarding, even if it’s organized.', 'Organized hoarding is still hoarding']"
32,56,32_20_average_ceo_average ceo,"['20', 'average', 'ceo', 'average ceo', 'ceo makes', 'times average', '20 years', '000', '20 times', 'makes']","[""where in gods name does an AVerage AVERAGE AVERAGE CEO make 20 millions dollars a year, that's absurd"", ""There was an interesting thing Thorsten Veblen did were he did a survey and asked people if they would rather earn 50-000 a year in a town where everyone else earned 60000, or 40000 in a town where everyone else earned 30000. Almost all the respondents went for the latter. It's not really about how much money you have, it's about how much you have compared to everyone else. I live in a very poor country as an expat professional and though I earn probably 20 times the average salary, (which still isnt much by Western standards) there is so little to actually consume here that I pretty much live like everyone here does, albeit of course with much more security. And it's absolutely fine. You don't really need much more than a healthy diet and a wifi connection to function, and it's a massive relief not to waste my time and money buying for the sake of it. I'm probably happier than I've ever been."", 'Average ceo makes 20 million is the dumbest thing I’ve heard in a while']"
33,56,33_mini_haul_mini sephora_sephora haul,"['mini', 'haul', 'mini sephora', 'sephora haul', 'sephora', 'mini haul', 'size', 'products', 'products mini', 'think mini']","['i think that influencer called it a ""mini"" sephora haul because all of the products were mini sizes. i don\'t think they were referring to the haul as mini. lmao.', 'The mini sephora haul is minis , mini products', 'The ""mini"" haul was mini products, not a ""mini haul""']"
34,55,34_july_summer_september_fall,"['july', 'summer', 'september', 'fall', 'fall july', 'august', '20th', 'decorating fall', 'july 20th', 'decorating']","['the decorating for fall in july is driving me up the wall... july 20th is less than 1/3 into summer', 'Girl what do you mean july 21st is ""technically"" still summer. It could literally not be MORE summer. Fall doesnt start until September 21st, summer only just started a month before july 21st. There\'s no technically here, it IS summer and so is all of august and most of September', ""decorating for FALL in JULY is crazy. July is summer, fall isn't until september.""]"
35,51,35_sleeves_hands_sleeve_sleeves hands,"['sleeves', 'hands', 'sleeve', 'sleeves hands', 'covering', 'covering hands', 'sleeves covering', 'drives', 'sleeve thing', 'hate']","['The sleeves on the hands!! Cringe', 'The sleeves over the hands drives me INSANE.', 'The sleeves, the sleeves covering the hands or half of the hands in these videos (and restock videos) BOTHERS ME SOOO MUCH 😥']"
36,50,36_debt_credit_card debt_credit card,"['debt', 'credit', 'card debt', 'credit card', 'credit cards', 'card', 'debt debt', 'cards', 'americans', 'rich']","[""I'm curious to know how much credit card debt these people are in"", 'Debt. Debt is why we are so broke.', 'All I see in these videos is credit card debt.']"
37,50,37_4k_4000_sephora_month,"['4k', '4000', 'sephora', 'month', 'spend', 'money', '40', '4000 sephora', 'insane', 'gen']","['These data findings are presented in a confusing manner (also there are some grammatical errors). Perhaps this wording is better? ""In the US, 4% (did they mean 44% ?) of Gen Zers and 39% of Millennials are ordering more delivery, compared to just 26% of Gen Xers and Baby Boomers. When it comes to takeout, 57% of Gen Zers and 40% of Millennials are ordering more, while only 28% of Gen Xers and 24% of Baby Boomers report doing the same.', ""Wow, thousands of dollars of products that will go bad because they cannot be used in time. If you're buying high end items, why buy the cheap stuff? I am all about buying good quality and big bottles so something will last and work well. I am not going to own a million others of the same product. What the heck? I have to work really hard to make the money to just get my high quality items. Strict budgeting, too. To see all of that is insane. You know what works best for my skin care routine? A $4 bar of Tea Tree Therapy soap, $2 scrubber gloves, $5 charcoal Equate pore strips, and a $9 bottle of black willow bark face wash/mask from Shea Terra. So, 20 bucks for my routine, which includes the organic wash/mask. Touch-up for my oily skin includes just water or alcohol. I am very oily. I get a $28 mascara, but it lasts years before going bad. The most I spend is on my hair with a $50 keratin oil bottle and some $20 frizz spray. That lasts me several months, though! I cannot even pin the last time I bought those items."", '74% of adults are dumb with money..who spends $4k a year on subscriptions, etc?! I’m good with money all in all. (Natal Saturn in Scorpio in 2nd house conjunct Pluto in Libra.) That’s what happens when you live over 40 years with hardly any of it & working hard. I never finished college bc I didn’t want to sell out to a career for 40+ hours a week hating life, like my parents. But I would have if I could’ve found my life partner earlier (before became a mother & got into a car accident & became disabled & couldn’t work). My husband takes care of me now, thank God. But we’ve been raising a child off of less than $34k for 13 years. He just finished college & interning, so hopefully everything gets better soon. My life is abundant. I don’t need all that shallow stuff. I’ve never had a credit card besides Home Depot & Wayfair, & paid them off early. I bought a 10-y-o CRV, should be paid off next year. I live on beautiful property in a double wide from 80s & am happy. I cut my own hair, do my own Brazilian perms, & do my own French tips. My life is good.']"
38,49,38_landfills_landfill_trash_waste,"['landfills', 'landfill', 'trash', 'waste', 'garbage', 'goes', 'waste waste', 'end landfill', 'just', 'landfill landfill']","[""What a freaking waste! But, she is making money, so nevermind the already over filled landfills & all the waste that she, & other creators, are adding to those landfills. It's worth it. 🙄🙄🙄🙄🙄🙄🙄🙄🤮"", ""Random thought at ... I'm thinking these people are AD NPC's. Lol Crazy simulation conspiracy theory.🤣 Edit at :30 Wanna know what is sad... eventually all this overconsumption shit is going to go into landfills. More garbage. It's going to be a problem on top of the problem the world has with garbage. I just can't..."", 'Promoting products or not, these ppl are so disgustingly wasteful and promoting huge amounts of waste. They’re the whole ass problem when it comes to why our landfills are overfilled. The ppl themselves should go in the landfill, then we’d have a lot less waste.']"
39,47,39_000_house_buy house_invest,"['000', 'house', 'buy house', 'invest', 'million', '300 000', 'rent', 'buy', '000 house', 'million dollars']","[""I kind of disagree on the middle bit. If giving everyone in the class 1mil dollars is equivalent to good wages in the post-war, sure lots of people bought houses, but those middle class people aren't usually the psychopaths competing for bigger and bigger houses. That's the elites. The problem the elites had is that many people were allowed to save money, and buying a house to a degree does count as saving money if you consider it an investment. So when the elites did something the middle class didn't like, the middle class had the wiggle room to go on strike, quit on a dime, rebel in this way or another. But by increasing inequality it makes it so that the elites have a tighter hold on their people, even if those people don't like it, they can't do anything about it. And by having so much money, that only increases how many people they can manipulate, because the vast majority of the world's population is in that kind of situation."", ""you have 1 million dollars. if you buy a $700,000 house, you're left with $300,000. If you buy a $300,000 house, you're left with $700,000. $700,000 > $ 300,000. Therefore, a $300,000 house is better than $700,000 house."", 'Total household debt increased by $93 billion to reach $18.04 trillion in the fourth quarter, according to the latest Quarterly Report on Household Debt and Credit. Aggregate delinquency rates ticked up 0.1 percentage point (ppt) from the previous quarter to 3.6 percent of outstanding debt in some stage of delinquency. Mortgage balances rose by $11 billion to stand at $12.61 trillion at the end of December. Transition into serious delinquency, defined as 90 or more days past due, remained stable for mortgages, but edged up for auto loans, credit cards, and HELOC balances. Auto loan balances saw an $11 billion increase to $1.66 trillion in the fourth quarter, while credit card balances increased by $45 billion from the previous quarter to reach $1.21 trillion at the end of December. (Source: Federal Reserve)']"
40,46,40_zeke_cat_mommy_love zeke,"['zeke', 'cat', 'mommy', 'love zeke', 'mommy mommy', 'zeke cat', 'hearing zeke', 'zeke zeke', 'voicing opinion', 'thought zeke']","['Tell Zeke that I am appalled that I had to wait TWENTY whole minutes to hear him meow. Do better, Zeke. 😂😂😂😂😂😂', 'Even Zeke thought this was crazy!', 'I love zeke (and these videos)']"
41,46,41_shower_25_25 step_step shower,"['shower', '25', '25 step', 'step shower', 'step', 'shower routine', '25 steps', 'routine', 'steps', 'steps shower']","[""1. Get towel 2. Grab clean clothes 3. Turn on bathroom light 4. Close bathroom door 5. Open shower door 6. Turn on water 7. Undress 8. Step into shower 9. Clothes shower door 10. Step into water stream 11. Wet hair 12. Shampoo hair 13. Rinse hair 14. Soap body 15. Rinse body 16. Wash face 17. Rinse face 18. Shave (sometimes) 19. Turn off water 20. Dry off 21. Turn off water 22. Open shower 23. Step out 24. Get dressed 25. Brush hair That's the only way I'm getting anywhere near a 25 step shower."", 'My 25 step shower routine: 1. Open bathroom door 2. Walk into bathroom 3. Get a towel 4. Make sure the products I need are in the shower 5. Get undressed 6. Pull back shower curtain 7. Turn on shower 8. Adjust temperature 9. Get in the shower 10. Wet hair 11. Put shampoo in my hair 12. Scrub scalp 13. Rinse hair 14. Put conditioner in hair 15. Detangle with a wide tooth comb and my fingers 16. More conditioner because curly hair problems 17. Put on exfoliating gloves 18. Lather soap 19. Wash body 20. Rinse body 21. Wet face 22. Cleanse face 23. Rinse hair 24. Rinse face 25. Dry off I mean who DOESNT have a 25 step routine 💅💅💅', '25 step shower routine? 🤣🤣🤣 Just no.']"
42,46,42_wrist_holder_ponytail_wrists,"['wrist', 'holder', 'ponytail', 'wrists', 'pony', 'hair', 'ponytail holder', 'pony tail', 'tail', 'hair tie']","['Hair tie holder??!! Ever heard of YOUR OWN WRIST???!!', 'The pony tail holder, what happened to wearing a hair tie on your wrist???', ""Ponytail holder??! THAT'S WHAT YOUR WRIST IS FOR!!!!""]"
43,46,43_cyber_cyber truck_truck_cybertruck,"['cyber', 'cyber truck', 'truck', 'cybertruck', 'comment', 'truck comment', 'cybertruck comment', 'laugh', 'loud', 'loved cybertruck']","['The cyber truck line lmao', 'The cyber truck reference….lol 😂', 'The cyber truck comment 😂😂😂😂']"
44,42,44_blush_blush collection_lipstick_lipstick blush,"['blush', 'blush collection', 'lipstick', 'lipstick blush', 'use lipstick', 'collection', 'shades', 'blush blush', 'shade', 'makeup']","['wtf ?!?! How does anyone have a blush collection much less one like this!?!? Seriously tho!?! 🤯 it’s BLUSH!! So it’s just a couple shades of pink or peach. And I promise NOBODY notices or cares what shade of blush anybody wears 🤦🏻\u200d♀️ this is just embarrassing', 'I just use my lipstick as blush 😭', 'I use lipstick as blush. I don’t even have a blush in my makeup bag 😂']"
45,39,45_brazilian_brazil_pepper_peppertree,"['brazilian', 'brazil', 'pepper', 'peppertree', 'brasil', 'professor', 'pepper tree', 'brazilian pepper', 'brazilian peppertree', 'aroeira']","['I had NO IDEA THEY PUT AROEIRA-VERMELHA IN CREAMS OMG 😂 for a second i thought it could be arnica. What a curious name Brazilian Pepper Tree, welp BRAZIL MENTIONED 🙌🙌🙌 SENDING YOU LOVE FROM BRASIL, HANNAH', 'as a brazilian, if it says BRAZILIAN PEPPERTREE just run kkkkkk we here knows as a plant that u get VERY itchy and we are told to STAY AWAY kkkkkkkkk just, dont.the itchyness is allergy, just allergy. kkkkkkkkkkkkk for the brazilian here, its AROEIRA kkkkk LOL', 'Brazilian here, I have no idea what is a Brazilian pepper tree 🤷🏻\u200d♀️']"
46,39,46_return_video return_video_wonder,"['return', 'video return', 'video', 'wonder', 'videos', 'content return', 'buy content', 'returned', 'buy video', 'content']","['I wonder how much of these products they buy for the video and then return', ""I wonder if some of them film the video and then return most of the items? I'm not defending them, but recently, I've seen videos of influencers buying tons of items to donate to charity and afterwards being caught returning all the items."", 'They buy for their video then return everything to the store']"
47,38,47_10_steps day_steps_10k,"['10', 'steps day', 'steps', '10k', '10k steps', '100', '000 steps', '10 mins', '10 000', 'ed']","['""If you want to be pretty, walk a minimum of 10,000 steps a day."" Me: (laughs in reduced mobility) 😂😂', 'Her: “minimum of 10,000 steps a day” Me: 👩🏻\u200d🦽\u200d➡️Ummm', 'oof the 10k steps a day is super diet culture / ed talk… trust me, i know… edtwt loves those 10k steps when it is quite hard to do for many people, specially people who go to school / work… when i had an ed i would just pace around my room to reach 10k steps— it was so bad, and whenever i hear someone unironically use that as “health advice” i immediately know they are part of diet culture and ed’s… no, you don’t need to walk 10k steps every day! just do HEALTHY amounts of exercise (again, don’t over do it) and you’ll be fine']"
48,36,48_europeans_freedom hating_godless_hating europeans,"['europeans', 'freedom hating', 'godless', 'hating europeans', 'hating', 'godless freedom', 'freedom', 'european', 'europe', 'europeans godless']","['""Godless, freedom hating Europeans"" I\'m dead 🤣', '""Those godless freedom hating Europeans!""', '""Those Godless freedom hating Europeans."" 😂😂😂']"
49,32,49_minutes_min_blah_minutes talking,"['minutes', 'min', 'blah', 'minutes talking', 'months thought', 'min just', 'months', 'video', 'parts hannah', 'starting video']","['Girl! You spent 7 minutes talking before showing a single video.', 'Hannah: “Guess how many parts there are.” Me: “Okay, I’ll play. Um, 7 parts?” Hannah: “118!” Me: 👁️ 👄 👁️', 'Wow. 7 minutes of talking about starting the video before starting the video. Get on with it.']"
50,32,50_james charles_charles_james_follow james,"['james charles', 'charles', 'james', 'follow james', 'follow', 'face', 'said', 'said james', 'charles jump', 'charles face']","['""Literally follow James Charles"" Me: *OH THAT\'S NOT-*', 'We made the same face when she said “James Charles” 🤣', 'Follow James Charles immediately no']"
51,32,51_perfumes_skin care_products_blush,"['perfumes', 'skin care', 'products', 'blush', 'shades', 'body sprays', 'tree hut', 'owning', 'hut', 'different']","['There\'s perfume ""collection"" too. No one can use that many perfumes! I started to get into that addiction, and thank god something in my mind switched, and now I know I need only four perfumes; if I want to try a new perfume, I will buy them only after finishing a tester and after I have used all my perfumes.', ""Here i only use fragrance free products and only add perfume when I feel like and I have 4 perfume but they expired 3 years ago but I only use them on clothes in emergency I don't feel like need any more perfumes after I started using benzoyl peroxide on armpit"", ""I think for regular people the normal would be owning up to 3-4 products in each category (let's say 4 lipsticks, 4 shades of blush, 4 eyeshadow palettes etc). I myself am guilty of owning too much makeup (mostly eyeshadow palettes, I have over 30 and I have come to realize they're just expiring, so I've cut on these purchases massively).""]"
52,31,52_coffee filter_coffee_filter_bowl,"['coffee filter', 'coffee', 'filter', 'bowl', 'bowl looks', 'stack coffee', 'coffee filters', 'purse bowl', 'looks like', 'filters']","['Purse bowl? Coffee filter?', 'That one bowl looks like a coffee filter. Straight up.', 'The second purse bowl looks like a giant coffee filter.']"
53,31,53_reagan_economic_80s_consumerism,"['reagan', 'economic', '80s', 'consumerism', 'policies', 'elite', 'war', 'class', 'changed', 'financialization']","['These lectures always gloss over the historical reasons for the shift to Reaganism since it doesn\'t fit their narrative. It wasn\'t a cabal of rich people greedily forcing change, it was a failure of the economic policies of the 70s that were making life difficult for the working and middle class. You don\'t have a president win large in reelection and subsequently have his VP be the next president (and then have the most economically conservative Democrat) without the general sentiment of the American culture agreeing with his policies. I\'m all for discussing whether the Reagan Revolution was the right tool for the right job in solving the issues of the 70s but omitting the cultural and economic realities for the average American prior to the Reagan era is a disingenuous approach to this sort of lecture. It assumes there were no issues with the ""worker first"" economic approach that had persisted up to the 80s and in doing so assumes just going back to pre-80s economic policies will fix everything. If we aren\'t honest about the economic problems that the 70s had we are doomed to repeat them since everyone will think ""just go back"" is the solution.', 'His core argument isn\'t wrong. The post-war social contract really did put workers at the center, the Reagan-Thatcher era really did blow it up, and CEO pay really has gone from 20x to 300x the average worker. These are facts, not opinions. But he smooths out history until it looks like a conspiracy. The shift to neoliberalism wasn\'t some elite meeting where they decided to swap ""worker"" for ""consumer."" It came out of real crises — stagflation, oil shocks, collapsing productivity — and the responses were messy, contradictory, and often unintended. Jung makes it sound like a chess move. It was more like a bar fight. His Marx point is also sneaky. He says Marx was ""right"" because post-war societies adopted worker-friendly policies. But Marx wanted to abolish capitalism, not soften it with unions and public healthcare. Calling the welfare state a vindication of Marx is like saying a band-aid vindicates the guy who recommended amputation. The million-dollar thought experiment is fun but rigged. Of course students say ""buy a house, post it online"" — he\'s leading them there. People also use money to help their families, start businesses, travel, donate. Reducing human motivation to status competition on social media is a caricature, not an insight. And the big finish — consumerism as ""the perfection of slavery"" — sounds profound until you notice it contradicts his own other lectures. If the system were truly perfect, there\'d be no populism, no protests, no Trump, no revolutions. The world is clearly not full of content, obedient consumers. It\'s full of angry, anxious people who sense something is broken but can\'t quite name it. That\'s not perfection. That\'s a system running on fumes.', 'Thank you for reminding us of the revolt of the elite and thatcher in the 80’s. Other key trends of the 80’s were the rise of the computer, followed by the growth of the internet. And globalization was huge, which outsourced manufacturing and prioritized shrewd and ultimately sociopathic management. Really the 80’s was the beginning of financialization of the economies of the west, particularly in the US. That is, banking and financial instruments (stock, bonds, loans, derivatives, real estate, mortgage backed securities, CDOs, and all the insurance) this sector became dominant in the economy. Less manufacturing. And seemingly less economic dominance of the military industrial complex which previously had been the leader. So agriculture, manufacturing, mining, energy, transportation, education, healthcare, media, etc., the entire American infrastructure receded in importance. And everything became dependent on financial investment to fund technical advances, and to send shareholder profit to the banks, and to the funds, and to the top 1-3%. Over time we had such a concentration of wealth and power, that democracy became oligarchy. Sometime after the crash of 2008, perhaps by 2012- 2020, but surely in the wake of covid, another shift has occurred. Recently technology for AI has emerged as the new dominant economic sector. Consumerism typically seems to imply buying cheap stuff. Is housing cheaper? University education? What about groceries? Is healthcare cheaper? Is childcare cheaper? Is eldercare cheaper? Are new vehicles cheaper? Is insurance dropping in price? Do cellphones really drop massively in affordability? Are five executive-level suits more affordable than 5 years ago? Are plumbing repairs or roof repairs or a new furnace more affordable, or is that something like a catastrophe? Maybe some plastic basket for your bathroom is cheaper, sure. But so what. Life didnt really become easier or more affordable in this grand experiment with globalization and financialization, except for the top 1-3%. Anyway, the recent trend suggests fewer tangible items desired, right? Whats preferred is more social clout, or more experiences. Not necessarily more stuff. Many of these experiences may be almost addictive. Social media use and phone use are at record highs and have become damaging to people. Consumerism as a label feels a bit behind the times and out of touch. Moreover it presumes a level of disposable income not enjoyed by consumers for many years. We’re dealing more with escapism and phone addiction today. That is the prison. Yes? Whats being described here and what Fukuyama discussed is a type of keeping up with the Joneses. He wrote that about the trap of consumerism circa 1989 - 1992? Neil Postman’s “Amusing Ourselves to Death” from 1985 or so, appears more prescient. So what’s actually happening is massive economic shifts, now due to AI, and a new round of job losses, reduced wages, an unconcerned government, and the situation is all completely changed. Once folks are on social media, instead of blaming leadership or blaming the system for their woes, they are interacting with AI bots who pull them into right versus left false paradigm, sparking outrage. Not solutions. The current situation is dangerous. But no it’s not the prison of consumerism, that’s really outdated and over simplified. Folks are addicted to their freakin’ phones. And there the algorithms get them. There they experience psychological warfare from AI that sucks away their time and energy and incites outrage against their neighbors, instead of cooperating with them to make a better world.']"
